"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Dhuin","2022","","","","2023-10-27","","",""
"Animal Kingdom","2010","3","","60","2023-10-27","","",""
"Tótem","2023","","","","2023-10-27","","",""
"mid90s","2018","3","","54","2023-10-25","","",""
"Chameli","2003","","","","2023-10-22","","",""
"Fan","2016","","","","2023-10-22","","",""
"An Unmarried Woman","1978","3","","56","2023-10-21","","",""
"Luna","1979","","","","2023-10-21","","",""
"Matchstick Men","2003","3.5","","66","2023-10-19","","",""
"Rab Ne Bana Di Jodi","2008","2.5","yes","43","2023-10-18","","",""
"Blow Out","1981","3.5","yes","69","2023-10-17","69","",""
"The Fly","1986","3.5","yes","68","2023-10-12","60","",""
"Tales from the Hood","1995","","","","2023-10-11","","",""
"Child’s Play","1988","","","","2023-10-08","","",""
"The Treasure of the Sierra Madre","1948","3.5","","70","2023-10-07","","",""
"Ghostwatch","1992","3","","56","2023-10-06","","",""
"Black Sabbath","1963","2","","38","2023-10-05","","",""
"Wake in Fright","1971","3","","60","2023-10-05","","",""
"Fire in the Sky","1993","2.5","","42","2023-10-04","","",""
"Tootsie","1982","4","","73","2023-10-03","","",""
"Primer","2004","4","yes","73","2023-09-30","69","",""
"Coherence","2013","3.5","yes","64","2023-09-29","47","",""
"Mona Lisa","1986","3.5","","61","2023-09-28","","",""
"Devil in a Blue Dress","1995","3.5","","61","2023-09-27","","",""
"The Boys in the Band","1970","3.5","","65","2023-09-26","","",""
"Deep Cover","1992","3","","60","2023-09-24","","",""
"Bottoms","2023","2","","34","2023-09-24","","",""
"Are You There God? It's Me, Margaret.","2023","3.5","","61","2023-09-22","","",""
"The Lobster","2015","3.5","","62","2023-09-21","","",""
"Shattered Glass","2003","3","","59","2023-09-21","","",""
"Obsession","1976","2.5","","50","2023-09-20","","",""
"The Emperor's New Groove","2000","","","","2023-09-14","","",""
"Talk to Me","2022","2.5","","45","2023-09-13","","",""
"Dogtooth","2009","3","","54","2023-09-11","","",""
"The Little Girl Who Lives Down the Lane","1976","3","","52","2023-09-10","","",""
"Jawan","2023","1","","12","2023-09-09","","",""
"One False Move","1991","4","","71","2023-09-03","","",""
"The Blob","1988","2.5","","43","2023-09-01","","",""
"Mr. Smith Goes to Washington","1939","3","","59","2023-08-31","","",""
"Wait Until Dark","1967","3.5","","67","2023-08-28","","",""
"A Room with a View","1986","3.5","","62","2023-08-26","","",""
"A Time to Kill","1996","","","","2023-08-24","","",""
